country;Year;GDP.growth..annual...;GDP..current.US..
Macedonia;2006;5,13702516153505;6861222331,96317
Malta;2006;2,51014276491921;6778324087,13818
Moldova;2006;4,79999985009476;3408244549,19999
Monaco;2006;5,80393653563056;4582988332,70606
Montenegro;2006;8,56641950822812;2721903148,91482
Morocco;2006;7,57463164458541;68640825480,9223
Netherlands;2006;3,46098895411502;733340860619,747
Norway;2006;2,39979082117745;345581369965,54
Poland;2006;6,13114394606158;344622003093,581
Portugal;2006;1,62503417629674;208581694893,991
Romania;2006;8,02881107599163;122022997508,01
Russia;2006;8,200068255056;989930542278,695
San Marino;2006;3,83008356545962;1908167105,75837
Serbia;2006;5,10779014122984;32482070360,3204
Serbia and Montenegro;2006;6,83710482472898;NA
Slovakia;2006;8,49317758711238;70708098105,6329
Slovenia;2006;5,746396900645;39481045038,2637
Spain;2006;4,10272711542463;1259343871534,31
Sweden;2006;4,66277355175126;423093437423,762
Switzerland;2006;3,9886341036744;430921192375,179
Turkey;2006;6,9479880856863;557076027808,823
Ukraine;2006;7,43991793435069;107647920792,079
United Kingdom;2006;2,78832456587739;2713749770009,2
Yugoslavia;2006;5,96557955064142;NA
Albania;2007;5,97998203625438;10677321490,3807
Andorra;2007;1,55318814103222;3952600602,24473
Armenia;2007;13,7000000015467;9206301700,39619
Australia;2007;3,84423031556788;853099630996,31
Austria;2007;3,72741530093519;388691445387,353
Azerbaijan;2007;25,4632159061216;33050343782,7759
Belarus;2007;8,6000065362481;45277399813,6067
Belgium;2007;3,67688113594973;470324254037,777
Bosnia and Herzegovina;2007;5,85911840234161;15778767669,6991
Bulgaria;2007;6,55708105188404;44405101469,5591
Croatia;2007;5,06762513457255;60073426976,5069
Cyprus;2007;5,09806845261184;23968764029,5647
Czech Republic;2007;5,57033885921025;190183800884,018
Denmark;2007;0,909238928302372;319423424509,066
Estonia;2007;7,57358007607853;22445583082,398
Finland;2007;5,29933650739021;256052559540,104
France;2007;2,42473624337305;2657213249384,07
Georgia;2007;12,5789534308973;10172882370,5477
Germany;2007;2,97645513131597;3421229126745,14
Greece;2007;3,27374681647711;318497937311,799
Hungary;2007;0,242181101313662;139966001509,592
Iceland;2007;9,36531937639815;21514962938,1001
Ireland;2007;5,32426755875225;269917942786,751
Israel;2007;5,77348250618796;178959188676,03
Italy;2007;1,48707298036786;2210292636189,43
Latvia;2007;10,0270996509004;31004884420,7359
Lithuania;2007;11,1074801410501;39697891351,9431
Luxembourg;2007;8,35455406874028;50888134410,0739
Macedonia;2007;6,47348685752347;8336478142,08872
Malta;2007;4,77470580212436;7925371458,80527
Moldova;2007;3,00000023969456;4401189466,14058
Monaco;2007;14,4288990234727;5867916780,72817
Montenegro;2007;6,81015049116694;3680711743,77224
Morocco;2007;3,53159415154489;79041294874,4553
Netherlands;2007;3,77284252073882;847481522036,682
Norway;2007;2,99425185125679;400937100158,657
Poland;2007;7,06154381310782;429028505365,078
Portugal;2007;2,50657964551773;240190803449,22
Romania;2007;7,23380774362805;174585202805,233
Russia;2007;8,49997776846357;1299705764823,62
San Marino;2007;7,10932260228034;2185874623,59704
Serbia;2007;6,43952555416212;43170990616,4729
Serbia and Montenegro;2007;6,62483802266453;NA
Slovakia;2007;10,8320288326386;86454081576,7862
Slovenia;2007;6,98016075450694;48006372844,2376
Spain;2007;3,60468797126931;1472131125102,66
Sweden;2007;3,43922177600065;491252589217,021
Switzerland;2007;4,11187778486608;479913033988,67
Turkey;2007;5,04350792469846;681321211458,133
Ukraine;2007;7,59352040825819;142579603960,396
United Kingdom;2007;2,43055320120308;3100882352941,18
Yugoslavia;2007;6,23131606735003;NA
Albania;2008;7,49996956029166;12881354103,8398
Andorra;2008;-5,55918636850581;4085630584,44412
Armenia;2008;6,90000000042959;11662040713,8753
Australia;2008;3,65795352556486;1053995523724,26
Austria;2008;1,4604236757386;430294287388,311
Azerbaijan;2008;10,5914372943933;48852482960,0779
Belarus;2008;10,1999994395436;60763483146,0674
Belgium;2008;0,446928735275904;515223524241,98
Bosnia and Herzegovina;2008;5,44184678922166;19112739664,4697
Bulgaria;2008;6,08562760690579;54438966419,8639
Croatia;2008;1,89345290008815;70234425974,0453
Cyprus;2008;3,6468119905756;27844698989,3072
Czech Republic;2008;2,68641195092762;236816485762,988
Denmark;2008;-0,512016744849106;353361038818,383
Estonia;2008;-5,08894290133486;24371299252,9662
Finland;2008;0,783995060876521;284553976856,599
France;2008;0,254945960124005;2918382891460,38
Georgia;2008;2,41857165904172;12795076469,0099
Germany;2008;0,95987913356484;3730027830672,33
Greece;2008;-0,335172452094639;354460802695,181
Hungary;2008;1,0582892500439;158136326477,965
Iceland;2008;1,99198082855523;17905251722,895
Ireland;2008;-4,48038347614992;275038895561,74
Israel;2008;2,99648306095004;216105164994,426
Italy;2008;-0,962012840579291;2398856598798,89
Latvia;2008;-3,32730003999858;35756225697,9974
Lithuania;2008;2,61442303328732;47797551587,8823
Luxembourg;2008;-1,27958624140669;55849686538,7432
Macedonia;2008;5,47200139015595;9909548410,82744
Malta;2008;3,8263591660248;9090406749,5267
Moldova;2008;7,80000014465953;6054849884,52656
Monaco;2008;0,666834793181863;6476490405,74191
Montenegro;2008;7,22275203419028;4545674527,61096
Morocco;2008;5,92327768597593;92507257783,5697
Netherlands;2008;2,17032485133603;947997656364,435
Norway;2008;0,476379999491613;4,6225e+11
Poland;2008;4,19996229248767;533609081852,897
Portugal;2008;0,319247925063081;262344779551,78
Romania;2008;9,30746717077338;214313628965,024
Russia;2008;5,19996926498843;1660846387624,78
